Id , Brand , Title, Type_THC , Price, Amount, Image Link 
1,C4,CBD Canna Burst - Berry Bomb Fruit Chews,$25,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/JMS+C4+Canna+Burst+Berry+Bomb.jpg?tr=w-320
2,C4,Canna Burst - Berry Bomb Indica Fruit Chews,$25,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Berry%20Bomb%20Indica.jpg?tr=w-320
3,C4,Canna Burst - Berry Bomb Sativa Fruit Chews,$6 - $25,Sativa,(2pk - 10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Berry%20Bomb%20Sativa.jpg?tr=w-320
4,C4,Canna Burst - Grape Grenade Indica Fruit Chews,$6,Indica,(2pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Grape%20Grenade%20Indica.jpg?tr=w-320
5,C4,Canna Burst - Grape Grenade Sativa Fruit Chews,$25,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Grape%20Grenade%20Sativa.jpg?tr=w-320
6,C4,Canna Burst - Lemon Blast Sativa Fruit Chews,$25,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Lemon%20Burst%20Sativa.jpg?tr=w-320
7,C4,Canna Burst - Mango Mortar Indica Fruit Chews,$25,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Mango%20Mortar%20Indica.jpg?tr=w-320
8,C4,Canna Burst - Mango Mortar Sativa Fruit Chews,$25,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Mango%20Mortar%20Sativa.jpg?tr=w-320
9,C4,Canna Burst - Strawberry Surge Indica Fruit Chews,$6 - $25,Indica,(2pk - 10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Strawberry%20Surge%20Indica.jpg?tr=w-320
10,C4,Canna Burst - Strawberry Surge Sativa Fruit Chews,$25,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Canna%20Burst%20C4%20Chews%20Strawberry%20Surge%20Sativa.jpg?tr=w-320
11,C4,Pineapple Pucker Sativa,$25,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Canna+Burst.webp-823fcfae-bac0-4439-8a84-2b5ac86e9591?tr=w-320
12,C4,Watermelon Whizbang Indica,$25,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FCannaburst%2BC4%2BWatermelon%2BWhizbang%2BEdible%2BCandy.jpg-66db62d3-a5a4-42e0-8247-7de46fda4da?tr=w-320
13,C4,Watermelon Whizbang Sativa,$25,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FCannaburst%2BC4%2BWatermelon%2BWhizbang%2BEdible%2BCandy.jpg-1ea73d32-f4cd-4498-9962-d8fc7b2061e?tr=w-320
14,Ceres,Assorted Chocolates,$22,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres+Assorted+Chocolate+Bites+Edible+Chocolate.jpg?tr=w-320
15,Ceres,Assorted Chocolates Indica,$22,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres+Assorted+Chocolate+Bites+Edible+Chocolate.jpg?tr=w-320
16,Ceres,Dark Chocolate Bites - Indica,$3,Indica,(Single),https://ik.imagekit.io/qxmwvn2y0qb/Ceres+Garden+Logo.jpg?tr=w-320
17,Ceres,Dark Chocolate Bites - Sativa,$3,Sativa,(Single),https://ik.imagekit.io/qxmwvn2y0qb/Ceres+Garden+Logo.jpg?tr=w-320
18,Ceres,Dragon Ball Single - Indica,$4,Indica,(Single),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Dragon%20Balls.jpg?tr=w-320
19,Ceres,Dragon Ball Single - Sativa,$4,Sativa,(Single),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Dragon%20Balls.jpg?tr=w-320
20,Ceres,Dragon Balls - Indica,$22,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Dragon%20Balls.jpg?tr=w-320
21,Ceres,Dragon Balls - Sativa,$22,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Dragon%20Balls.jpg?tr=w-320
22,Ceres,Indica Cookies n' Cream Chocolate Bites,$22,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/satori%2FCeresCookiesNCream.png-e31aacc5-c232-4291-9427-3fb199a2a366?tr=w-320
23,Ceres,Indica Malt Balls,$25,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Indica%20Malt%20Balls.jpg?tr=w-320
24,Ceres,Milk Chocolate CBD 1:1 Indica,$22,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FCBD+Milk.jpg-7d611fc7-8872-441b-8c2a-90e7fc9fcf3b?tr=w-320
25,Ceres,Milk Chocolate CBD 1:1 Sativa,$22,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FCBD+Milk.jpg-7d611fc7-8872-441b-8c2a-90e7fc9fcf3b?tr=w-320
26,Ceres,Mint Chocolate Bites - Indica,$22,Indica,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FMint+Chocolate.jpg-5cef2483-1232-4e60-a1e4-785d0e07efe?tr=w-320
27,Ceres,Mint Chocolate Bites - Sativa,$22,Sativa,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FMint+Chocolate.jpg-5cef2483-1232-4e60-a1e4-785d0e07efe?tr=w-320
28,Ceres,Salted Caramel Balls Indica,$4,Hybrid,(Single),https://ik.imagekit.io/qxmwvn2y0qb/Ceres%20Salted%20Caramel%20Balls.jpg?tr=w-320
