Id , Brand , Title, Type_THC , Price, Amount, Image Link 
1,2727,DJ Short Blueberry,$120,Indica,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Flower.jpg-242acf8f-364-4c59-a5b-16cc6e51f97b?tr=w-500
2,2727,Oregon Diesel,$120,Hybrid,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Flower.jpg-242acf8f-364-4c59-a5b-16cc6e51f97b?tr=w-500
3,2727,Poison Fruit #6,$120,Hybrid,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Flower.jpg-242acf8f-364-4c59-a5b-16cc6e51f97b?tr=w-500
4,2727,Slurricane,$120,Indica,(28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric+Flower.jpg-242acf8f-364-4c59-a5b-16cc6e51f97b?tr=w-500
5,Aloha Botanics,9lb Hammer,$150,Indica Hybrid,(28g),https://ik.imagekit.io/qxmwvn2y0qb/2020%2FAloha+Botanics+Flower+Bag.jpg?tr=w-320
6,Aloha Botanics,Acapulco Gold,$7,Hybrid,(1g),https://ik.imagekit.io/qxmwvn2y0qb/Aloha%20Botanics%20Flower%20Bag.jpg?tr=w-320
7,Aloha Botanics,Acapulco Gold,$22 - $150,Sativa Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/Aloha%20Botanics%20Flower%20Bag.jpg?tr=w-320
8,Aloha Botanics,Blueberry Muffins,$22 - $150,Indica Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/Aloha%20Botanics%20Flower%20Bag.jpg?tr=w-320
9,Aloha Botanics,DJ Short Blueberry,$7 - $150,Indica Hybrid,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/Aloha%20Botanics%20Flower%20Bag.jpg?tr=w-320
10,Aloha Botanics,Golden Ticket,$22 - $150,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/Aloha%20Botanics%20Flower%20Bag.jpg?tr=w-320
